--------- beginning of main
09-02 18:45:46.590 14031 14031 E adbd    : recv: OPEN 000264e7 00000000 0095:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 66 69 72 65 66 6F 78 2F 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 67 65 63 6B 6F 2E 42 72 6F 77 73 65 72 41 70 70 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 18:45:46.590 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n org.mozilla.firefox/org.mozilla.gecko.BrowserApp --activity-clear-task
09-02 18:45:53.077  7887  7887 I BatteryMgr:DataCollectionService: onStartCommand: begin
09-02 18:45:53.077  7887  7887 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 100
09-02 18:45:53.078  7887  7887 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
09-02 18:45:53.080  7887  7887 I BatteryMgr:DataCollectionService: onStartCommand: notification done
09-02 18:45:53.082  7887  7887 D Notification: allPendingIntents
09-02 18:45:53.084  7887  7887 I BatteryMgr:DataCollectionService: started foreground
09-02 18:45:53.086  3979  3995 D ApplicationPolicy: isStatusBarNotificationAllowedAsUser: packageName = android,userId = 0
09-02 18:45:53.086  3979  3995 D API test: getContainerInfo: value is 
09-02 18:45:53.086  3979  3995 D ApplicationPolicy: isStatusBarNotificationAllowedAsUser: packageName = android,userId = 0
09-02 18:45:53.086  3979  3995 D API test: getContainerInfo: value is 
09-02 18:45:53.087  3979  3995 D ApplicationPolicy: isStatusBarNotificationAllowedAsUser: packageName = com.example.batterymanager_utility,userId = 0
09-02 18:45:53.087  3979  3995 D API test: getContainerInfo: value is 
09-02 18:45:53.088  3979  3995 D ApplicationPolicy: isStatusBarNotificationAllowedAsUser: packageName = com.example.batterymanager_utility,userId = 0
09-02 18:45:53.088  3979  3995 D API test: getContainerInfo: value is 
09-02 18:45:53.091  3979  3979 D AudioService: getStreamVolume 5 index 110
09-02 18:45:53.093  3979  9339 D Notification: allPendingIntents
09-02 18:45:53.095  3979  9339 D Notification: allPendingIntents
09-02 18:45:53.096  4349  4349 D StatusBar: addNotification key=0|android|40|null|1000 fullscreen:false
09-02 18:45:53.098  3979  3979 I AccessibilityManagerService: semOnLightNotification(null), bIsFlashOn : false
09-02 18:45:53.098  3979  3979 D AccessibilityManagerService: Can't use light notification
09-02 18:45:53.099 14031 14031 E adbd    : recv: OPEN 000264ff 00000000 0042:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 67 65 74 70 72 6F 70 20 72 6F 2E 62 75 69 6C 64 2E 76 65 72 73 69 6F 6E 2E 72 65 6C 65 61 73 65 00 
09-02 18:45:53.099 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:getprop ro.build.version.release
09-02 18:45:53.100  7887  8359 I BatteryMgr:DataCollectionService: collectData: begin
09-02 18:45:53.101  3979  3979 D AudioService: getStreamVolume 5 index 110
09-02 18:45:53.104  3979  5983 D Notification: allPendingIntents
09-02 18:45:53.105  3979  9339 D Notification: allPendingIntents
09-02 18:45:53.107  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673153107,-269,4255
09-02 18:45:53.109  4349  4349 D StatusBar: addNotification key=0|com.example.batterymanager_utility|1|null|10157 fullscreen:false
09-02 18:45:53.162 14031 14031 E adbd    : recv: OPEN 00026502 00000000 003e:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 67 65 74 70 72 6F 70 20 72 6F 2E 62 75 69 6C 64 2E 76 65 72 73 69 6F 6E 2E 73 64 6B 00 
09-02 18:45:53.162 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:getprop ro.build.version.sdk
09-02 18:45:53.213  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673153213,-269,4255
09-02 18:45:53.213  4349  4349 D KeyguardUpdateMonitor: handleStatusBarState( false )
09-02 18:45:53.221 14031 14031 E adbd    : recv: OPEN 00026505 00000000 0029:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 64 61 74 65 20 2D 75 00 
09-02 18:45:53.221 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:date -u
09-02 18:45:53.278 14031 14031 E adbd    : recv: OPEN 00026508 00000000 003e:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 64 75 6D 70 73 79 73 20 63 70 75 69 6E 66 6F 20 7C 20 67 72 65 70 20 54 4F 54 41 4C 00 
09-02 18:45:53.278 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:dumpsys cpuinfo | grep TOTAL
09-02 18:45:53.320  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673153320,-269,4255
09-02 18:45:53.350 14031 14031 E adbd    : recv: OPEN 0002650b 00000000 003d:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 64 75 6D 70 73 79 73 20 6D 65 6D 69 6E 66 6F 20 7C 20 67 72 65 70 20 55 73 65 64 00 
09-02 18:45:53.350 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:dumpsys meminfo | grep Used
09-02 18:45:53.426  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673153426,-269,4255
09-02 18:45:53.468  7948  7948 I zygote64: Deoptimizing void kotlinx.coroutines.internal.DispatchedContinuationKt.resumeCancellableWith(kotlin.coroutines.Continuation, java.lang.Object, kotlin.jvm.functions.Function1) due to JIT same target
09-02 18:45:53.479  7948  7948 I glean/Glean: Registering pings for org.mozilla.fenix.GleanMetrics.Pings
09-02 18:45:53.484  7948  7999 I FenixApplication: Running post-visual completeness tasks...
09-02 18:45:53.484  7948  7999 I FenixApplication: Storage initialization...
09-02 18:45:53.484  7948  7999 I PlacesHistoryStorage: Warming up places storage...
09-02 18:45:53.484  7948  7999 I PlacesHistoryStorage: 'Warming up places storage' took 0 ms
09-02 18:45:53.484  7948  7999 I PlacesBookmarksStorage: Warming up places storage...
09-02 18:45:53.484  7948  7999 I PlacesBookmarksStorage: 'Warming up places storage' took 0 ms
09-02 18:45:53.485  7948  7999 I SyncableLoginsStorage: Warming up storage...
09-02 18:45:53.485  7948  7999 I SyncableLoginsStorage: 'Warming up storage' took 0 ms
09-02 18:45:53.485  7948  7999 I AutofillCCAddressesStorage: Warming up storage...
09-02 18:45:53.485  7948  7999 I AutofillCCAddressesStorage: 'Warming up storage' took 0 ms
09-02 18:45:53.491  7948  7948 I ColdStartupDuration: COLD VIEW Application.<init> to first frame: 1468 ms
09-02 18:45:53.492  7948  7948 I FenixApplication: Kicking-off account manager...
09-02 18:45:53.492  7948  7948 I FenixApplication: 'Kicking-off account manager' took 0 ms
09-02 18:45:53.493  3979  9339 D ConnectivityService: filterNetworkStateForUid() uid: 10154 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:53.531  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673153531,-269,4255
09-02 18:45:53.642  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673153641,-269,4255
09-02 18:45:53.699  7948  7999 I FenixApplication: 'Storage initialization' took 215 ms
09-02 18:45:53.750  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673153750,-269,4255
09-02 18:45:53.808 10264  8395 E memtrack: Couldn't load memtrack module
09-02 18:45:53.808 10264  8395 W android.os.Debug: failed to get memory consumption info: -1
09-02 18:45:53.861  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673153861,-269,4255
09-02 18:45:53.972  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673153972,-269,4255
09-02 18:45:54.084  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673154084,-269,4255
09-02 18:45:54.195  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673154195,-269,4255
09-02 18:45:54.307  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673154306,-269,4255
09-02 18:45:54.417  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673154417,-269,4255
09-02 18:45:54.528  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673154528,-269,4255
09-02 18:45:54.594  3449  3449 I android.hardware.wifi@1.0-service: getLinkLayerStats
09-02 18:45:54.634  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673154634,-269,4255
09-02 18:45:54.666  7948  7982 D GeckoIdleService: Get idle time: time since reset 5117 msec
09-02 18:45:54.666  7948  7982 D GeckoIdleService: Idle timer callback: current idle time 5117 msec
09-02 18:45:54.666  7948  7982 D GeckoIdleService: next timeout 174882 msec from now
09-02 18:45:54.666  7948  7982 D GeckoIdleService: SetTimerExpiryIfBefore: next timeout 174882 msec from now
09-02 18:45:54.666  7948  7982 D GeckoIdleService: reset timer expiry to 174892 msec from now
09-02 18:45:54.666  7948  7982 D GeckoIdleService: Idle timer callback: tell observer 0x7c12e942a8 user is idle
09-02 18:45:54.744  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673154744,-269,4255
09-02 18:45:54.858  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673154858,-269,4255
09-02 18:45:54.969  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673154969,-269,4255
09-02 18:45:55.087  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673155086,-269,4255
09-02 18:45:55.196  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673155196,-269,4255
09-02 18:45:55.207  3979  9339 D ConnectivityService: filterNetworkStateForUid() uid: 10102 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:55.212  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 18:45:55.216  3614  3927 D DnsProxyListener: DNSDBG::dns addrinfo af 2
09-02 18:45:55.269  7881  7869 D omnistore_android_logger: DebouncingRateLimiter attempting event SyncProtocol::onConnectionEstablished
09-02 18:45:55.269  7881  7869 D omnistore_android_logger: AlarmManager::startAlarmTimer for key=SyncProtocol::onConnectionEstablished, it will NOT wake up main thread to reschedule
09-02 18:45:55.269  7881  7869 W omnistore_android_logger: Event SyncProtocol::onConnectionEstablished rate limited for 16596 ms
09-02 18:45:55.272  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 18:45:55.280  3979  6899 D SSRM:G  : SIOP:: AP = 330, PST = 312 (W:16), BAT = 283, USB = 0, CHG = 0
09-02 18:45:55.307  7881  4231 E fb4a.msys: E[N MQTT]readEOF(124)=>TCPStreamTransport readEOF
09-02 18:45:55.307  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673155306,-269,4255
09-02 18:45:55.307  7881  4231 E fb4a.msys: E[N MQTT]onEOF(699)=>LigerBasedStreamTransport onEOF
09-02 18:45:55.308  7881  7831 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 6313, error = 2003
09-02 18:45:55.309  7881  7831 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 6312, error = 2003
09-02 18:45:55.311  3979  9339 D ConnectivityService: filterNetworkStateForUid() uid: 10102 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:55.314  7881  7881 W fb4a.MobileConfigFactoryImpl: SESSIONLESS factory used for 2 param
09-02 18:45:55.315  7881  4225 E fb4a.msys: E[N rtchannel]_rt_mqtt_publish_callback(430)=>Failed to publish the request over MQTT (possible duplicate log). token:709e7881-61d9-4886-91f5-568fa50da72c, category:mcd-sync-data-task-category, requestId:43992, error:Error Domain=mqtt Code=2003 UserInfo=0xc81ec600 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:55.315  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 18:45:55.356  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 709e7881-61d9-4886-91f5-568fa50da72c contains sync error Error Domain=mqtt Code=2003 UserInfo=0xc81ec600 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003} - Underlying error (null): Error Domain=mqtt Code=2003 UserInfo=0xc81ec600 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:55.413  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673155413,-269,4255
09-02 18:45:55.458  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task bf1e00ae-ba14-4eaa-b6ae-bac02e4fb8e2 (response type 1): (null)
09-02 18:45:55.460  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response bf1e00ae-ba14-4eaa-b6ae-bac02e4fb8e2 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8f700 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8f700 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:55.462  7881  7869 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:55.462  7881  7869 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:55.462  7881  7869 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:55.463  7881  7869 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:55.463  7881  7869 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:55.463  7881  7869 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:55.463  7881  7869 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:55.464  7881  7869 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:55.464  7881  7869 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:55.470  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 4687f8d3-68af-4a46-9267-5338bdd97f33 (response type 1): (null)
09-02 18:45:55.471  7881  7873 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:55.471  7881  7873 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:55.472  7881  7873 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:55.472  7881  7873 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:55.472  7881  7873 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:55.472  7881  7873 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:55.472  7881  7873 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:55.472  7881  7873 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:55.472  7881  7873 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:55.481  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 4687f8d3-68af-4a46-9267-5338bdd97f33 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8fc00 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8fc00 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:55.518  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673155518,-269,4255
09-02 18:45:55.533  7881  7831 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:55.533  7881  7831 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:55.533  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 71f2c15e-3c3d-472c-9a7f-6804c20eae02 (response type 1): (null)
09-02 18:45:55.533  7881  7831 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:55.533  7881  7831 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:55.533  7881  7831 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:55.533  7881  7831 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:55.533  7881  7831 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:55.534  7881  7831 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:55.534  7881  7831 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:55.534  7881  4229 E fb4a.msys: E[S task_queue_handling]MCDLightSpeedTaskExecutorNetworkCompletionCallback(1017)=>Handling send error for taskId=6 batchSize=1 queue=secure_message_over_wa_generate_cat
09-02 18:45:55.535  7881  4229 E fb4a.msys: E[S task_queue_handling]MCDLightSpeedTaskExecutorNetworkCompletionCallback(1071)=>Error content with 18 bytes: Error Domain=com.facebook.http.error Code=401 UserInfo=0xb591d800 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:55.547  7881  7873 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:55.547  7881  7873 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:55.547  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 0cdebb03-4937-4036-9cca-c0f5dd8a67e9 (response type 1): (null)
09-02 18:45:55.547  7881  7873 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:55.547  7881  7873 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:55.548  7881  7873 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:55.548  7881  7873 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:55.548  7881  7873 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:55.548  7881  7873 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:55.548  7881  7873 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:55.557  7881  7873 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:55.558  7881  7873 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:55.558  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 217eb8a5-e426-44aa-b0d2-7600089a4db4 (response type 1): (null)
09-02 18:45:55.558  7881  7873 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:55.559  7881  7873 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:55.559  7881  7873 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:55.559  7881  7873 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:55.559  7881  7873 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:55.559  7881  7873 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:55.560  7881  7873 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:55.561  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 0cdebb03-4937-4036-9cca-c0f5dd8a67e9 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc91e2200 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc91e2200 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:55.583  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 217eb8a5-e426-44aa-b0d2-7600089a4db4 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc91e2700 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc91e2700 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:55.615  7881  8242 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:55.616  7881  8242 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:55.616  7881  8242 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:55.616  7881  8242 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:55.616  7881  8242 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:55.616  7881  8242 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:55.618  7881  8242 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:55.623  7881  8242 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:55.623  7881  8242 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:55.624  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673155623,-269,4255
09-02 18:45:55.725  7881  7873 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:55.725  7881  7873 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:55.726  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task b6c86eb3-6ef7-45b3-92c4-86a38842abb1 (response type 1): (null)
09-02 18:45:55.726  7881  7873 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:55.726  7881  7873 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:55.726  7881  7873 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:55.727  7881  7873 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:55.727  7881  7873 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:55.727  7881  7873 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:55.727  7881  7873 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:55.728  7881  4229 E fb4a.msys: E[S task_queue_handling]MCDLightSpeedTaskExecutorNetworkCompletionCallback(1017)=>Handling send error for taskId=6 batchSize=1 queue=secure_message_over_wa_generate_cat
09-02 18:45:55.728  7881  4229 E fb4a.msys: E[S task_queue_handling]MCDLightSpeedTaskExecutorNetworkCompletionCallback(1071)=>Error content with 18 bytes: Error Domain=com.facebook.http.error Code=401 UserInfo=0xc91e2e00 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:55.736  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673155736,-269,4255
09-02 18:45:55.847  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673155847,-269,4255
09-02 18:45:55.957  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673155957,-269,4255
09-02 18:45:56.068  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673156067,-269,4255
09-02 18:45:56.117  4962  4962 D io_stats: !@ 179,0 r 759878 22515068 w 612429 12536388 d 66468 20741544 f 141599 145304 iot 701420 590769 th 51200 0 0 pt 0 inp 0 0 63689.361
09-02 18:45:56.180  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673156179,-269,4255
09-02 18:45:56.290  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673156289,-269,4255
09-02 18:45:56.399  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673156399,-269,4255
09-02 18:45:56.512  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673156511,-269,4255
09-02 18:45:56.621  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673156621,-269,4255
09-02 18:45:56.694  3979  4000 V MARsPolicyManager: updateFromMARsThread
09-02 18:45:56.695  3979  4001 D MARsDBManager: updatePkgsToSMDB : begin --size 3
09-02 18:45:56.731  7887  8359 I BatteryMgr:DataCollectionService: stats => 1693673156731,-269,4255
09-02 18:45:56.739  3979  4001 D MARsDBManager: updatePkgsToSMDB : end
09-02 18:45:56.739  3979  4001 D MARsDBManager: onChange - mSmartManagerObserver! Uri = content://com.samsung.android.sm/AppFreezer?MARs-self=true&MARs=true
09-02 18:45:56.739  3979  4001 I chatty  : uid=1000(system) MARsDBThread identical 1 line
09-02 18:45:56.740  3979  4001 D MARsDBManager: onChange - mSmartManagerObserver! Uri = content://com.samsung.android.sm/AppFreezer?MARs-self=true&MARs=true
09-02 18:45:56.801 14031 14031 E adbd    : recv: OPEN 0002650e 00000000 0029:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 64 61 74 65 20 2D 75 00 
09-02 18:45:56.801 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:date -u
09-02 18:45:56.807 14031 14031 E adbd    : recv: OPEN 00026511 00000000 00c3:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 66 69 72 65 66 6F 78 2F 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 67 65 63 6B 6F 2E 42 72 6F 77 73 65 72 41 70 70 20 2D 64 20 68 74 74 70 3A 2F 2F 31 39 32 2E 31 36 38 2E 38 38 2E 31 37 37 3A 38 30 30 30 2F 53 6F 63 69 61 6C 2F 66 61 63 65 62 6F 6F 6B 2D 76 65 6E 64 6F 72 2F 77 77 77 2E 66 61 63 65 62 6F 6F 6B 2E 63 6F 6D 2F 00 
